Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-21 00:00:00-05:00,19.510000228881836,21.489999771118164,17.549999237060547,20.950000762939453,6091800,0.0,0.0
2021-01-22 00:00:00-05:00,20.049999237060547,26.0,19.5,21.389999389648438,2482600,0.0,0.0
2021-01-25 00:00:00-05:00,22.25,22.25,20.290000915527344,21.5,1086300,0.0,0.0
2021-01-26 00:00:00-05:00,21.25,23.71500015258789,20.868999481201172,23.059999465942383,802000,0.0,0.0
2021-01-27 00:00:00-05:00,22.549999237060547,24.59000015258789,21.709999084472656,22.479999542236328,1231200,0.0,0.0
2021-01-28 00:00:00-05:00,22.25,23.18000030517578,20.5,20.600000381469727,445000,0.0,0.0
2021-01-29 00:00:00-05:00,20.940000534057617,24.0,20.100000381469727,23.149999618530273,852800,0.0,0.0
2021-02-01 00:00:00-05:00,23.889999389648438,26.440000534057617,23.5,25.940000534057617,549100,0.0,0.0
2021-02-02 00:00:00-05:00,26.0,26.5,24.549999237060547,24.649999618530273,276400,0.0,0.0
2021-02-03 00:00:00-05:00,24.809999465942383,26.200000762939453,24.5,26.0,253000,0.0,0.0
2021-02-04 00:00:00-05:00,26.200000762939453,28.93000030517578,26.200000762939453,27.600000381469727,356300,0.0,0.0
2021-02-05 00:00:00-05:00,27.739999771118164,31.979999542236328,27.65999984741211,29.90999984741211,503900,0.0,0.0
2021-02-08 00:00:00-05:00,31.670000076293945,31.700000762939453,29.799999237060547,29.90999984741211,238800,0.0,0.0
2021-02-09 00:00:00-05:00,29.260000228881836,29.989999771118164,28.198999404907227,29.799999237060547,198100,0.0,0.0
2021-02-10 00:00:00-05:00,29.799999237060547,30.040000915527344,28.559999465942383,29.56999969482422,123200,0.0,0.0
2021-02-11 00:00:00-05:00,29.5,30.65999984741211,28.420000076293945,28.959999084472656,182400,0.0,0.0
2021-02-12 00:00:00-05:00,28.610000610351562,29.6200008392334,28.200000762939453,28.860000610351562,224600,0.0,0.0
2021-02-16 00:00:00-05:00,28.049999237060547,28.079999923706055,23.725000381469727,24.899999618530273,561300,0.0,0.0
2021-02-17 00:00:00-05:00,24.510000228881836,27.489999771118164,24.469999313354492,26.139999389648438,229700,0.0,0.0
2021-02-18 00:00:00-05:00,25.510000228881836,26.75,25.40999984741211,25.790000915527344,130100,0.0,0.0
2021-02-19 00:00:00-05:00,25.81999969482422,27.21299934387207,25.6299991607666,26.510000228881836,132600,0.0,0.0
2021-02-22 00:00:00-05:00,26.3799991607666,26.75,24.5,25.079999923706055,142600,0.0,0.0
2021-02-23 00:00:00-05:00,24.389999389648438,24.719999313354492,22.950000762939453,24.610000610351562,176700,0.0,0.0
2021-02-24 00:00:00-05:00,24.43000030517578,25.770000457763672,23.75,25.170000076293945,125900,0.0,0.0
2021-02-25 00:00:00-05:00,24.969999313354492,25.899999618530273,23.360000610351562,23.90999984741211,182700,0.0,0.0
2021-02-26 00:00:00-05:00,23.5,24.5,22.75,23.43000030517578,156500,0.0,0.0
2021-03-01 00:00:00-05:00,23.65999984741211,24.18000030517578,21.68000030517578,22.360000610351562,378400,0.0,0.0
2021-03-02 00:00:00-05:00,22.299999237060547,23.479999542236328,22.06999969482422,23.219999313354492,161700,0.0,0.0
2021-03-03 00:00:00-05:00,23.219999313354492,23.940000534057617,22.764999389648438,23.239999771118164,87700,0.0,0.0
2021-03-04 00:00:00-05:00,23.06999969482422,23.56999969482422,22.610000610351562,23.200000762939453,198700,0.0,0.0
2021-03-05 00:00:00-05:00,23.149999618530273,23.229999542236328,20.149999618530273,21.559999465942383,377100,0.0,0.0
2021-03-08 00:00:00-05:00,21.8700008392334,22.979999542236328,21.655000686645508,22.170000076293945,146900,0.0,0.0
2021-03-09 00:00:00-05:00,22.989999771118164,23.84000015258789,22.399999618530273,23.6200008392334,140600,0.0,0.0
2021-03-10 00:00:00-05:00,23.829999923706055,25.200000762939453,23.540000915527344,25.059999465942383,253800,0.0,0.0
2021-03-11 00:00:00-05:00,25.440000534057617,26.915000915527344,25.030000686645508,26.079999923706055,178900,0.0,0.0
2021-03-12 00:00:00-05:00,26.0,27.0,25.0,26.5,104200,0.0,0.0
2021-03-15 00:00:00-04:00,26.809999465942383,27.0,26.290000915527344,26.969999313354492,112100,0.0,0.0
2021-03-16 00:00:00-04:00,27.06999969482422,28.5,25.739999771118164,25.760000228881836,169500,0.0,0.0
2021-03-17 00:00:00-04:00,25.899999618530273,26.229999542236328,23.850000381469727,25.030000686645508,300600,0.0,0.0
2021-03-18 00:00:00-04:00,25.010000228881836,25.010000228881836,22.329999923706055,22.760000228881836,195300,0.0,0.0
2021-03-19 00:00:00-04:00,22.700000762939453,23.236000061035156,22.0,22.190000534057617,660000,0.0,0.0
2021-03-22 00:00:00-04:00,22.6200008392334,23.399999618530273,22.329999923706055,22.770000457763672,316600,0.0,0.0
2021-03-23 00:00:00-04:00,22.770000457763672,22.979999542236328,22.0,22.15999984741211,205000,0.0,0.0
2021-03-24 00:00:00-04:00,22.270000457763672,23.329999923706055,21.81999969482422,22.0,113100,0.0,0.0
2021-03-25 00:00:00-04:00,22.18000030517578,22.770000457763672,21.139999389648438,21.8799991607666,126900,0.0,0.0
2021-03-26 00:00:00-04:00,22.139999389648438,23.530000686645508,21.889999389648438,23.239999771118164,114900,0.0,0.0
2021-03-29 00:00:00-04:00,23.200000762939453,23.649999618530273,22.0,22.579999923706055,103500,0.0,0.0
2021-03-30 00:00:00-04:00,22.459999084472656,24.15999984741211,22.030000686645508,23.489999771118164,122100,0.0,0.0
2021-03-31 00:00:00-04:00,23.969999313354492,24.797000885009766,23.510000228881836,24.06999969482422,124900,0.0,0.0
2021-04-01 00:00:00-04:00,24.270000457763672,24.979999542236328,23.940000534057617,24.940000534057617,102300,0.0,0.0
2021-04-05 00:00:00-04:00,25.09000015258789,25.459999084472656,24.559999465942383,24.90999984741211,53500,0.0,0.0
2021-04-06 00:00:00-04:00,25.1299991607666,25.420000076293945,24.290000915527344,24.600000381469727,113300,0.0,0.0
2021-04-07 00:00:00-04:00,24.600000381469727,24.610000610351562,23.5,23.780000686645508,113500,0.0,0.0
2021-04-08 00:00:00-04:00,23.610000610351562,24.260000228881836,23.170000076293945,23.450000762939453,53500,0.0,0.0
2021-04-09 00:00:00-04:00,23.149999618530273,24.350000381469727,23.020000457763672,23.899999618530273,78900,0.0,0.0
2021-04-12 00:00:00-04:00,23.729999542236328,24.200000762939453,23.5,23.959999084472656,42100,0.0,0.0
2021-04-13 00:00:00-04:00,24.020000457763672,24.020000457763672,23.190000534057617,23.600000381469727,67600,0.0,0.0
2021-04-14 00:00:00-04:00,23.600000381469727,24.309999465942383,23.600000381469727,23.950000762939453,102100,0.0,0.0
2021-04-15 00:00:00-04:00,24.149999618530273,24.229999542236328,23.0,23.15999984741211,86700,0.0,0.0
2021-04-16 00:00:00-04:00,23.0,23.809999465942383,22.5,23.260000228881836,130700,0.0,0.0
2021-04-19 00:00:00-04:00,23.239999771118164,23.969999313354492,22.3799991607666,22.530000686645508,42400,0.0,0.0
2021-04-20 00:00:00-04:00,22.469999313354492,22.530000686645508,21.6200008392334,22.139999389648438,89000,0.0,0.0
2021-04-21 00:00:00-04:00,22.09000015258789,23.270000457763672,22.049999237060547,23.030000686645508,105400,0.0,0.0
